segment_id,route_segment,corridor,is_tent,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_det,n_chargers_abm,n_chargers_stoch,delta_seasonal,delta_mc_noise,simulated_charging_rate,capacity_kw_abm
327,N-301,Standard,False,42.6,1.0,2,2,2,0,0,0.118,300
328,N-301,Standard,False,41.4,1.0,2,2,2,0,0,0.1165,300
329,N-301,Standard,False,67.4,1.0,2,2,2,0,0,0.116,300
330,N-310,Standard,False,109.8,1.0,2,2,2,0,0,0.1265,300
331,N-310,Standard,False,68.0,1.0,2,2,2,0,0,0.1045,300
332,N-320,Standard,False,185.6,1.0,2,2,2,0,0,0.1275,300
333,N-320,Standard,False,223.1,1.0,2,2,2,0,0,0.131,300
334,N-320,Standard,False,260.5,1.0,2,2,2,0,0,0.136,300
335,N-320A,Standard,False,14.6,1.0,2,2,2,0,0,0.1235,300
336,N-323,Standard,True,192.7,1.0,4,4,4,0,0,0.1155,600
337,N-323,Standard,False,253.4,1.0,2,2,2,0,0,0.13,300
338,N-323,Standard,True,192.7,1.0,4,4,4,0,0,0.1295,600
339,N-323A,Standard,False,50.3,1.0,2,2,2,0,0,0.1225,300
340,N-323A,Standard,False,35.9,1.0,2,2,2,0,0,0.1185,300
341,N-323A,Standard,False,149.3,1.0,2,2,2,0,0,0.1275,300
342,N-323A,Standard,False,211.0,1.0,2,2,2,0,0,0.134,300
343,N-323A,Standard,False,2.3,1.0,2,2,2,0,0,0.1225,300
344,N-323A,Standard,False,7.9,1.0,2,2,2,0,0,0.1425,300
345,N-323A,Standard,False,21.4,1.0,2,2,2,0,0,0.133,300
346,N-325,Standard,False,486.4,1.0,2,2,2,0,0,0.115,300
347,N-325,Standard,False,263.8,1.0,2,2,2,0,0,0.125,300
348,N-330,Standard,False,87.0,1.0,2,2,2,0,0,0.13,300
349,N-330,Standard,False,66.7,1.0,2,2,2,0,0,0.129,300
350,N-330,Standard,False,750.8,1.0,2,2,2,0,0,0.1235,300
351,N-330,Standard,False,30.8,1.0,2,2,2,0,0,0.111,300
352,N-330,Standard,False,81.5,1.0,2,2,2,0,0,0.14,300
353,N-330,Standard,False,81.5,1.0,2,2,2,0,0,0.126,300
