location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,source,connection_distance_km,available_capacity_mw,is_tent,tent_tier,nearest_substation_id,estimated_demand_kw,fixed_cost_eur,candidate_id
STAV2_0185,41.8658,-5.4207,A-6,4,Congested,i-DE,upgrade,2.207351600456652,0.0,True,none,4707,600,50000.0,CAND_00879
STAV2_0186,41.71933325609793,-4.823248123193908,A-60,2,Congested,i-DE,high_imd,8.968179964121871,0.0,False,none,3095,300,300000.0,CAND_01550
STAV2_0187,42.514555666328576,-5.423747434420599,A-60,2,Congested,i-DE,high_imd,9.693060434932185,0.0,False,none,4690,300,300000.0,CAND_01549
STAV2_0188,40.60678,-6.824496,A-62,4,Congested,i-DE,upgrade,10.304026749379256,0.0,True,core,4817,600,150000.0,CAND_00815
STAV2_0189,41.6424,-4.7627907,A-62,4,Sufficient,i-DE,upgrade,1.7586637010696748,26.44,True,core,3231,600,50000.0,CAND_00887
STAV2_0190,41.1888534905475,-5.697153263002667,A-66,4,Congested,i-DE,high_imd,14.018831363480313,0.0,True,comprehensive,4832,600,300000.0,CAND_01569
STAV2_0191,41.79842261423094,-5.756283738862351,A-66,4,Congested,i-DE,service_area,6.1055399824127825,0.0,True,comprehensive,3229,600,200000.0,CAND_00039
STAV2_0192,42.41139494241778,-5.588548526345261,A-66,4,Congested,i-DE,high_imd,10.411543403673422,0.0,True,comprehensive,4694,600,300000.0,CAND_01570
STAV2_0193,42.50473254028296,-5.588289700067774,A-66R,2,Congested,i-DE,high_imd,3.6815368109373625,0.0,False,none,4687,300,200000.0,CAND_01573
STAV2_0194,37.658337,-1.705069,A-7,4,Sufficient,i-DE,upgrade,1.0441530290928758,17.81,True,none,3684,600,50000.0,CAND_00564
STAV2_0195,38.14595,-0.88898,A-7,11,Congested,i-DE,upgrade,3.8534011014381524,0.0,True,none,4003,1650,50000.0,CAND_00998
STAV2_0196,39.623318,-0.30439,A-7,11,Congested,i-DE,upgrade,1.39012375002216,0.0,True,none,4057,1650,50000.0,CAND_00496
STAV2_0197,38.30772,-0.60557,A-70,10,Congested,i-DE,upgrade,1.5827289540714158,0.0,True,core,3202,1500,50000.0,CAND_00469
STAV2_0198,42.383135549939695,-3.695014419479564,A-73R,2,Congested,i-DE,high_imd,1.0008403869633644,0.0,False,none,3327,300,200000.0,CAND_01588
STAV2_0199,42.91003,-2.663482,AP-1,4,Congested,i-DE,upgrade,4.462848685299868,0.0,True,core,4650,600,50000.0,CAND_00471
STAV2_0200,42.834183,-1.666381,AP-15,4,Congested,i-DE,upgrade,0.999369764412871,0.0,True,comprehensive,4664,600,50000.0,CAND_00738
STAV2_0201,39.41081084669706,-2.583030458314947,AP-36,2,Congested,i-DE,service_area,14.094234874248551,0.0,False,none,3559,300,200000.0,CAND_00027
STAV2_0202,40.06231755712379,-3.859392676034929,AP-41,2,Congested,i-DE,service_area,4.805511337766574,0.0,False,none,3249,300,100000.0,CAND_00064
STAV2_0203,40.72284294733156,-4.527654192230606,AP-51,4,Congested,i-DE,high_imd,9.236081187565798,0.0,True,comprehensive,4796,600,300000.0,CAND_01624
STAV2_0204,40.77142761296735,-4.398188014383041,AP-6,4,Congested,i-DE,service_area,9.440637213509026,0.0,True,none,4796,600,200000.0,CAND_00099
STAV2_0205,42.56834,-2.861139,AP-68,4,Congested,i-DE,upgrade,1.5250363099706312,0.0,True,core,4621,600,50000.0,CAND_00967
